name,user_id,round_id,example_id,question_0_This post is:,question_1_Total relationship duration,question_2_Current relationship status,question_3_How would you rate the risk level of the woman's relationship based on the information provided in the post?,question_4_Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,"question_5_Does she frequently feel anxious in her interactions with him, as if she needs to be careful with her words and actions?",question_6_Does he frequently make her feel guilty?,question_7_Does he frequently express dissatisfaction with her?,question_8_Does he try to manipulate her?,question_9_Does she feel she doesn't have option to leave him?,"question_10_Has she mentioned feeling like she has to dress, appear or act a certain way to please him?",question_11_Does he exhibit a tendency for angry outbursts?,question_12_Does she ever feel unsafe or threatened by him? Or does it seem evident from the post that he threatened/stalked/harassed her?,question_13_Does she mention that he was physically violent to her?,question_14_Does she mention that he was physically violent towards objects/animals related to her?,question_15_Does she describe verbal violence from her partner? (e.g. name calling/humilation),question_16_Age of female,question_17_Age of male,index_col,index_posts,originalIndex,part
Adi,1,0,0,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,18,19,0,100,15,evaluation
Roni,2,0,0,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,18,19,0,100,15,evaluation
Adi,1,1,1,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,20,1,101,30,evaluation
Roni,2,1,1,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,20,1,101,30,evaluation
Adi,1,2,2,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,0,0,2,102,130,evaluation
Roni,2,2,2,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,-1,-1,2,102,130,evaluation
Adi,1,3,3,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,23,3,103,14,evaluation
Roni,2,3,3,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20,23,3,103,14,evaluation
Adi,1,4,4,relevant,unclear from the post,partners/married,low,no,no,no,no,yes,no,no,no,no,no,no,no,34,34,4,104,259,evaluation
Roni,2,4,4,relevant,unclear from the post,partners/married,low,no,no,no,no,yes,no,no,no,no,no,no,no,34,34,4,104,259,evaluation
