name,user_id,round_id,example_id,question_0_This post is:,question_1_Total relationship duration,question_2_Current relationship status,question_3_How would you rate the risk level of the woman's relationship based on the information provided in the post?,question_4_Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,"question_5_Does she frequently feel anxious in her interactions with him, as if she needs to be careful with her words and actions?",question_6_Does he frequently make her feel guilty?,question_7_Does he frequently express dissatisfaction with her?,question_8_Does he try to manipulate her?,question_9_Does she feel she doesn't have option to leave him?,"question_10_Has she mentioned feeling like she has to dress, appear or act a certain way to please him?",question_11_Does he exhibit a tendency for angry outbursts?,question_12_Does she ever feel unsafe or threatened by him? Or does it seem evident from the post that he threatened/stalked/harassed her?,question_13_Does she mention that he was physically violent to her?,question_14_Does she mention that he was physically violent towards objects/animals related to her?,question_15_Does she describe verbal violence from her partner? (e.g. name calling/humilation),question_16_Age of female,question_17_Age of male,index_post,originalIndex,part
ilanit,1,0,0,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,27,33,50,241,exploration
ido,2,0,0,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,27,33,50,241,exploration
ilanit,1,1,1,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,23,23,51,128,exploration
ido,2,1,1,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,23,23,51,128,exploration
ilanit,1,2,2,relevant,0-1 year,non committed relationship,low,no,no,yes,yes,yes,no,no,no,no,no,no,no,21,24,52,156,exploration
ido,2,2,2,relevant,0-1 year,non committed relationship,low,no,no,yes,yes,yes,no,no,no,no,no,no,no,21,24,52,156,exploration
ilanit,3,3,3,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,25,27,53,208,exploration
ido,2,3,3,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,25,27,53,208,exploration
ilanit,1,4,4,relevant,0-1 year,non committed relationship,low,no,no,no,no,no,no,no,no,no,no,no,no,22,39,54,13,exploration
ido,2,4,4,relevant,0-1 year,non committed relationship,low,no,no,no,no,no,no,no,no,no,no,no,no,22,39,54,13,exploration
ilanit,1,5,5,relevant,0-1 year,affair,low,no,no,no,no,no,no,no,no,no,no,no,no,22,22,55,298,exploration
ido,2,5,5,relevant,0-1 year,affair,low,no,no,no,no,no,no,no,no,no,no,no,no,22,22,55,298,exploration
ilanit,1,6,6,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,yes,no,no,no,no,no,no,no,no,no,20,19,56,184,exploration
ido,2,6,6,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,yes,no,no,no,no,no,no,no,no,no,20,19,56,184,exploration
ilanit,1,7,7,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22,24,57,36,exploration
ido,2,7,7,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22,24,57,36,exploration
ilanit,1,8,8,relevant,3+ years (long),partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,29,29,58,258,exploration
ido,2,8,8,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,29,29,58,258,exploration
ilanit,1,9,9,relevant,3+ years (long),partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,24,25,59,286,exploration
ido,2,9,9,relevant,3+ years (long),partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,24,25,59,286,exploration
