name,user_id,round_id,example_id,question_0_This post is:,question_1_Total relationship duration,question_2_Current relationship status,question_3_How would you rate the risk level of the woman's relationship based on the information provided in the post?,question_4_Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,"question_5_Does she frequently feel anxious in her interactions with him, as if she needs to be careful with her words and actions?",question_6_Does he frequently make her feel guilty?,question_7_Does he frequently express dissatisfaction with her?,question_8_Does he try to manipulate her?,question_9_Does she feel she doesn't have option to leave him?,"question_10_Has she mentioned feeling like she has to dress, appear or act a certain way to please him?",question_11_Does he exhibit a tendency for angry outbursts?,question_12_Does she ever feel unsafe or threatened by him? Or does it seem evident from the post that he threatened/stalked/harassed her?,question_13_Does she mention that he was physically violent to her?,question_14_Does she mention that he was physically violent towards objects/animals related to her?,question_15_Does she describe verbal violence from her partner? (e.g. name calling/humilation),question_16_Age of female,question_17_Age of male
Gal,1,-1,,,,,,,,,,,,,,,,,,,
Gal,1,0,0,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,no,yes,yes,no,no,no,no,no,no,no,no,28.0,30.0
Gal,1,1,1,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,yes,no,yes,no,no,no,no,no,no,no,no,18.0,19.0
Gal,1,2,2,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,29.0
Gal,1,3,3,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,26.0,27.0
Gal,1,4,4,irrelevant,unclear from the post,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,29.0,29.0
Gal,1,5,5,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,22.0
Gal,1,6,6,relevant,1-3 years,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,35.0,41.0
Gal,1,7,7,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,23.0,27.0
Gal,1,8,8,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,27.0
Gal,1,9,9,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,no,no,no,no,no,no,no,no,yes,no,no,20.0,25.0
Gal,1,10,10,relevant,3+ years (long),partners/married,medium,no,yes,no,no,no,no,no,no,no,no,no,no,29.0,32.0
Gal,1,11,11,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,24.0
Gal,1,12,12,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19.0,20.0
Gal,1,13,13,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19.0,19.0
Gal,1,14,14,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,26.0
Gal,1,15,15,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,23.0,30.0
Gal,1,16,16,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,32.0,36.0
Gal,1,17,17,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,21.0
Gal,1,18,18,relevant,3+ years (long),partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,28.0,30.0
Gal,1,19,19,relevant,3+ years (long),boyfriend/girlfriend (dating),medium,no,no,no,no,no,no,no,yes,yes,no,no,yes,26.0,26.0
Gal,1,20,20,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,28.0,27.0
Gal,1,21,21,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,21.0
Gal,1,22,22,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,27.0
Gal,1,23,23,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,24.0
Gal,1,24,24,relevant,1-3 years,partners/married,medium,no,no,no,no,yes,yes,no,no,no,no,no,no,20.0,21.0
Gal,1,25,25,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,25.0
Gal,1,26,26,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,24.0,30.0
Gal,1,27,27,relevant,3+ years (long),friends,medium,no,no,no,no,yes,no,no,no,yes,no,no,no,25.0,24.0
Gal,1,28,28,relevant,3+ years (long),friends,high,no,no,yes,yes,no,no,no,yes,yes,no,no,no,23.0,23.0
Gal,1,29,29,irrelevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,23.0
Gal,1,30,30,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,yes,no,no,no,no,no,no,no,no,18.0,20.0
Gal,1,31,31,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,25.0
Gal,1,32,32,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,27.0,33.0
Gal,1,33,33,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,58.0
Gal,1,34,34,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,24.0,23.0
Gal,1,35,35,relevant,3+ years (long),partners/married,low,no,no,no,yes,no,no,no,no,no,no,no,no,35.0,39.0
Gal,1,36,36,relevant,3+ years (long),boyfriend/girlfriend (dating),medium,no,no,yes,no,yes,no,no,no,no,no,no,no,22.0,23.0
Gal,1,37,37,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
Gal,1,38,38,relevant,3+ years (long),partners/married,high,yes,no,no,no,yes,yes,no,no,no,no,no,yes,32.0,32.0
Gal,1,39,39,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,18.0,18.0
Gal,1,40,40,relevant,3+ years (long),friends,low,no,no,no,no,no,no,no,no,no,no,no,no,25.0,29.0
Gal,1,41,41,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,21.0
Gal,1,42,42,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,yes,no,no,no,no,no,no,no,22.0,22.0
Gal,1,43,43,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
Gal,1,44,44,relevant,3+ years (long),boyfriend/girlfriend (dating),medium,no,no,no,no,no,no,no,no,no,no,no,no,24.0,24.0
Gal,1,45,45,relevant,1-3 years,boyfriend/girlfriend (dating),medium,no,yes,yes,yes,no,no,no,no,no,no,no,no,20.0,22.0
Gal,1,46,46,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
Gal,1,47,47,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,23.0
Gal,1,48,48,irrelevant,3+ years (long),friends,low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,22.0
Gal,1,49,49,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,20.0,28.0
daniel engel,2,-1,,,,,,,,,,,,,,,,,,,
daniel engel,2,0,0,relevant,1-3 years,partners/married,low,no,yes,yes,yes,yes,no,no,yes,no,no,no,yes,28.0,30.0
daniel engel,2,1,1,relevant,0-1 year,separated/divorced,medium,no,yes,yes,yes,yes,no,no,yes,yes,no,no,yes,18.0,19.0
daniel engel,2,2,2,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,1.0,1.0
daniel engel,2,3,3,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,27.0
daniel engel,2,4,4,relevant,unclear from the post,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,29.0,29.0
daniel engel,2,5,5,relevant,3+ years (long),separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,22.0
daniel engel,2,6,6,relevant,1-3 years,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,35.0,41.0
daniel engel,2,7,7,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,23.0,27.0
daniel engel,2,8,8,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,27.0
daniel engel,2,9,9,relevant,unclear from the post,boyfriend/girlfriend (dating),medium,no,no,no,no,no,no,no,no,no,yes,no,no,20.0,25.0
daniel engel,2,10,10,relevant,3+ years (long),boyfriend/girlfriend (dating),low,no,yes,no,no,no,no,no,no,no,no,no,no,32.0,29.0
daniel engel,2,11,11,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,24.0
daniel engel,2,12,12,relevant,1-3 years,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19.0,20.0
daniel engel,2,13,13,relevant,0-1 year,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,19.0,19.0
daniel engel,2,14,14,relevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,26.0
daniel engel,2,15,15,relevant,unclear from the post,boyfriend/girlfriend (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,23.0,30.0
daniel engel,2,16,16,relevant,0-1 year,non committed relationship,low,no,no,no,no,no,no,no,no,no,no,no,no,32.0,36.0
Omer,3,-1,,,,,,,,,,,,,,,,,,,
daniel engel,2,17,17,irrelevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,21.0,21.0
daniel engel,2,18,18,relevant,3+ years (long),partners/married,low,no,no,no,no,yes,no,no,no,no,no,no,no,28.0,30.0
Omer,3,0,0,relevant,1-3 years,partners/married,medium,no,yes,no,yes,no,no,no,no,yes,no,no,yes,28.0,28.0
Omer,3,1,1,relevant,0-1 year,separated/divorced,low,no,no,no,no,no,no,no,no,no,no,no,no,18.0,19.0
daniel engel,2,19,19,relevant,3+ years (long),boyfriend/girlfriend (dating),high,no,yes,no,no,no,no,no,yes,yes,no,no,yes,26.0,26.0
Omer,3,2,2,relevant,0-1 year,friends,low,no,no,no,no,no,no,no,no,no,no,no,no,22.0,32.0
Omer,3,3,3,relevant,unclear from the post,non committed relationship,low,no,no,no,no,no,no,no,no,no,no,no,no,26.0,27.0
Omer,3,4,4,relevant,0-1 year,partners/married,low,no,no,no,no,no,no,no,no,no,no,no,no,29.0,29.0
