name,user_id,round_id,example_id,"question_0_Which type of relationship is being described in the post? [exes/divorced, long(married) , short(boy/girl friends), unclear]",question_1_How would you rate the risk level of the woman's relationship based on the information provided in the post?,question_2_Does she mention avoiding social events or outings with friends or family because of him or maybe making excuses for not going out?,question_3_Does she feel like she has to walk on eggshells around him?,question_4_Does she feel anxious or afraid before meeting or talking to him?,"question_5_Does she ever find herself doubting her judgment, memory, decisions, or abilities and has to get his approval before making decisions?",question_6_Does he frequently make her feel guilty?,question_7_Does he frequently express dissatisfaction with her?,question_8_Has she ever taken the blame for things that have nothing to do with her due to his behavior?,question_9_Does he present himself differently in public compared to private?,"question_10_Has she mentioned feeling like she has to dress, appear or act a certain way to please him based on the post?",question_11_Does he exhibit a tendency for angry outbursts?,question_12_Does she ever feel unsafe or threatened by him? Or it’s clear from the post that he threatened/stocked/harassed her?,question_13_Does she describe physical violence from her partner?,question_14_Does she describe verbal violence from her partner?,question_15_What is the age of the female?,question_16_What is the age of the male?
tester,0,-1,,,,,,,,,,,,,,,,,,
tester,0,0,0,long (partners/married),high,no,no,no,no,no,no,no,no,no,no,no,no,no,0.0,0.0
Emmy,1,-1,,,,,,,,,,,,,,,,,,
Emmy,1,0,0,long (partners/married),low,no,no,yes,no,yes,no,no,no,no,no,no,no,no,25.0,25.0
Emmy,1,1,1,long (partners/married),low,no,no,yes,no,no,no,no,yes,no,yes,yes,yes,no,,
Emmy,1,2,2,unclear from the post,medium,no,yes,yes,no,yes,yes,no,no,no,yes,no,no,yes,24.0,22.0
Emmy,1,3,3,unclear from the post,low,no,no,no,no,no,no,no,no,no,no,no,no,no,25.0,29.0
Emmy,1,4,4,long (partners/married),low,no,no,no,no,no,no,no,no,no,no,no,no,no,38.0,44.0
Emmy,1,5,5,short (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,no,35.0,38.0
Emmy,1,6,6,long (partners/married),low,no,no,no,no,no,no,no,no,no,no,no,no,no,26.0,27.0
Ido,2,-1,,,,,,,,,,,,,,,,,,
Ido,2,0,0,short (dating),medium,no,no,no,no,no,no,no,no,no,no,no,no,no,25.0,25.0
Ido,2,1,1,short (dating),medium,no,no,no,no,yes,yes,no,no,no,yes,yes,yes,yes,32.0,56.0
Ido,2,2,2,unclear from the post,medium,no,yes,yes,yes,yes,yes,no,no,no,yes,no,no,yes,24.0,22.0
adi,3,-1,,,,,,,,,,,,,,,,,,
Ido,2,3,3,unclear from the post,low,no,no,no,no,no,no,no,no,no,no,no,no,no,25.0,29.0
Ido,2,4,4,long (partners/married),low,no,no,no,no,no,no,no,no,no,no,no,no,no,38.0,44.0
Ido,2,5,5,long (partners/married),low,no,no,no,no,no,no,no,no,no,no,no,no,no,35.0,38.0
Ido,2,6,6,long (partners/married),low,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,26.0,27.0
Ido,2,7,7,short (dating),high,no,no,no,no,yes,no,no,no,no,yes,yes,no,yes,19.0,22.0
Ido,2,8,8,unclear from the post,medium,yes,no,no,no,no,no,no,no,no,no,no,no,no,31.0,31.0
Ido,2,9,9,unclear from the post,medium,no,no,no,no,no,yes,no,no,no,yes,no,no,no,31.0,27.0
adi,3,0,0,short (dating),low,no,yes,yes,no,yes,yes,no,no,yes,no,no,no,yes,25.0,25.0
Ido,2,10,10,short (dating),low,no,no,no,no,no,no,no,no,no,no,no,no,no,20.0,22.0
Ido,2,11,11,short (dating),low,no,no,yes,no,no,no,no,no,no,no,no,no,no,20.0,22.0
Ido,2,12,12,short (dating),low,no,no,no,yes,no,no,no,no,no,no,no,no,no,20.0,22.0
Ido,2,13,13,short (dating),high,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,22.0,25.0
adi,3,1,1,short (dating),medium,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no,32.0,56.0
adi,3,2,2,long (partners/married),high,no,yes,yes,yes,yes,yes,yes,no,no,yes,no,no,yes,24.0,22.0
